identifier,title,state,current_labels,matching_area_labels,lane,action,reason,status,error,url
MARPA-238,Feature: Reference image geo-tagging on Cesium globe — connect to VW Plant Style Manager,Backlog,"agent-ready, cesium, plant-geometry",plant-geometry,claude-code,label,matched area labels: plant-geometry,dry-run,,https://linear.app/00-command-center/issue/MARPA-238/feature-reference-image-geo-tagging-on-cesium-globe-connect-to-vw
MARPA-237,Feature: MARPA project registry — seed all projects with lat/lon and PostGIS geometry,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-237/feature-marpa-project-registry-seed-all-projects-with-latlon-and
MARPA-236,Feature: PostGIS spatial joins — ifc_elements × site_zones for zone analysis,Backlog,"agent-ready, analytics-layer",analytics-layer,claude-code,label,matched area labels: analytics-layer,dry-run,,https://linear.app/00-command-center/issue/MARPA-236/feature-postgis-spatial-joins-ifc-elements-site-zones-for-zone
MARPA-235,Feature: 3D Plant Asset Pipeline — geo-tagged reference images → ComfyUI → GLB → VW Plant Style,Backlog,"agent-ready, plant-geometry, vw-bridge","plant-geometry, vw-bridge",claude-code,label,"matched area labels: plant-geometry, vw-bridge",dry-run,,https://linear.app/00-command-center/issue/MARPA-235/feature-3d-plant-asset-pipeline-geo-tagged-reference-images-comfyui
MARPA-234,"Schema: Run migration 0012 — extended PostGIS, DDC admin, 3D pipeline, GenAI tables",Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-234/schema-run-migration-0012-extended-postgis-ddc-admin-3d-pipeline-genai
MARPA-233,Feature: Index 221 DDC skills in Pixeltable semantic_sidecars for agent search,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-233/feature-index-221-ddc-skills-in-pixeltable-semantic-sidecars-for-agent
MARPA-232,Research: Extract DDC n8n workflows → LATTICE FastAPI pipeline equivalents,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-232/research-extract-ddc-n8n-workflows-lattice-fastapi-pipeline
MARPA-231,Feature: Admin dashboard route /admin,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-231/feature-admin-dashboard-route-admin
MARPA-230,Feature: OpenConstructionERP BOQ adapter,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-230/feature-openconstructionerp-boq-adapter
MARPA-229,Setup: CWICR Qdrant in OrbStack Ubuntu VM,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-229/setup-cwicr-qdrant-in-orbstack-ubuntu-vm
MARPA-228,Research: iTwin Tier 1 packages — verify install compatibility with LATTICE stack,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-228/research-itwin-tier-1-packages-verify-install-compatibility-with
MARPA-227,Prospect projects,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-227/prospect-projects
MARPA-226,Historical projects,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-226/historical-projects
MARPA-225,Project thumbnail generation,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-225/project-thumbnail-generation
MARPA-224,Seed script,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-224/seed-script
MARPA-223,Web Worker for Fragment loading,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-223/web-worker-for-fragment-loading
MARPA-222,Progressive detail,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-222/progressive-detail
MARPA-221,Tile-based project loading,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-221/tile-based-project-loading
MARPA-220,Fragment cache per project,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-220/fragment-cache-per-project
MARPA-218,Field status updates,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-218/field-status-updates
MARPA-219,Photo/document evidence,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-219/photodocument-evidence
MARPA-217,Photo/document evidence,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-217/photodocument-evidence
MARPA-216,Schedule timeline,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-216/schedule-timeline
MARPA-215,DDC admin overlay,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-215/ddc-admin-overlay
MARPA-214,Linear sync,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-214/linear-sync
MARPA-213,Phase layer,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-213/phase-layer
MARPA-212,Cost layer,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-212/cost-layer
MARPA-211,Schedule progress layer,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-211/schedule-progress-layer
MARPA-210,Task status layer,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-210/task-status-layer
MARPA-209,Multiple projects visible simultaneously,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-209/multiple-projects-visible-simultaneously
MARPA-208,Multiple projects visible simultaneously,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-208/multiple-projects-visible-simultaneously
MARPA-207,Task status layer,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-207/task-status-layer
MARPA-206,Schedule progress layer,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-206/schedule-progress-layer
MARPA-205,Cost layer,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-205/cost-layer
MARPA-204,Phase layer,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-204/phase-layer
MARPA-203,Linear sync,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-203/linear-sync
MARPA-202,DDC admin overlay,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-202/ddc-admin-overlay
MARPA-201,Schedule timeline,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-201/schedule-timeline
MARPA-200,Photo/document evidence,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-200/photodocument-evidence
MARPA-199,Field status updates,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-199/field-status-updates
MARPA-198,Fragment cache per project,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-198/fragment-cache-per-project
MARPA-197,Tile-based project loading,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-197/tile-based-project-loading
MARPA-196,Progressive detail,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-196/progressive-detail
MARPA-195,Web Worker for Fragment loading,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-195/web-worker-for-fragment-loading
MARPA-194,Seed script,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-194/seed-script
MARPA-193,Project thumbnail generation,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-193/project-thumbnail-generation
MARPA-192,Historical projects,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-192/historical-projects
MARPA-191,Prospect projects,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-191/prospect-projects
MARPA-190,Research: iTwin Tier 1 packages — verify install compatibility with LATTICE stack,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-190/research-itwin-tier-1-packages-verify-install-compatibility-with
MARPA-189,Setup: CWICR Qdrant in OrbStack Ubuntu VM,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-189/setup-cwicr-qdrant-in-orbstack-ubuntu-vm
MARPA-188,Feature: OpenConstructionERP BOQ adapter,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-188/feature-openconstructionerp-boq-adapter
MARPA-187,Feature: Admin dashboard route /admin,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-187/feature-admin-dashboard-route-admin
MARPA-186,Research: Extract DDC n8n workflows → LATTICE FastAPI pipeline equivalents,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-186/research-extract-ddc-n8n-workflows-lattice-fastapi-pipeline
MARPA-185,Feature: Index 221 DDC skills in Pixeltable semantic_sidecars for agent search,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-185/feature-index-221-ddc-skills-in-pixeltable-semantic-sidecars-for-agent
MARPA-184,"Schema: Run migration 0012 — extended PostGIS, DDC admin, 3D pipeline, GenAI tables",Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-184/schema-run-migration-0012-extended-postgis-ddc-admin-3d-pipeline-genai
MARPA-183,Feature: 3D Plant Asset Pipeline — geo-tagged reference images → ComfyUI → GLB → VW Plant Style,Backlog,"agent-ready, plant-geometry, vw-bridge","plant-geometry, vw-bridge",claude-code,label,"matched area labels: plant-geometry, vw-bridge",dry-run,,https://linear.app/00-command-center/issue/MARPA-183/feature-3d-plant-asset-pipeline-geo-tagged-reference-images-comfyui
MARPA-182,Feature: PostGIS spatial joins — ifc_elements × site_zones for zone analysis,Backlog,"agent-ready, analytics-layer",analytics-layer,claude-code,label,matched area labels: analytics-layer,dry-run,,https://linear.app/00-command-center/issue/MARPA-182/feature-postgis-spatial-joins-ifc-elements-site-zones-for-zone
MARPA-181,Feature: MARPA project registry — seed all projects with lat/lon and PostGIS geometry,Backlog,"agent-ready, cesium",,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-181/feature-marpa-project-registry-seed-all-projects-with-latlon-and
MARPA-180,Feature: Reference image geo-tagging on Cesium globe — connect to VW Plant Style Manager,Backlog,"agent-ready, cesium, plant-geometry",plant-geometry,claude-code,label,matched area labels: plant-geometry,dry-run,,https://linear.app/00-command-center/issue/MARPA-180/feature-reference-image-geo-tagging-on-cesium-globe-connect-to-vw
MARPA-179,Setup: Local LLM infrastructure — Ollama on Apple Silicon for LATTICE agent routing,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-179/setup-local-llm-infrastructure-ollama-on-apple-silicon-for-lattice
MARPA-178,Setup: ComfyUI server for plant asset generation — Apple Silicon Mac,Backlog,"agent-ready, plant-geometry",plant-geometry,claude-code,label,matched area labels: plant-geometry,dry-run,,https://linear.app/00-command-center/issue/MARPA-178/setup-comfyui-server-for-plant-asset-generation-apple-silicon-mac
MARPA-177,Feature: GeoAI tree detection — classify existing trees from LiDAR + orthophoto,Backlog,"agent-ready, point-cloud",point-cloud,claude-code,label,matched area labels: point-cloud,dry-run,,https://linear.app/00-command-center/issue/MARPA-177/feature-geoai-tree-detection-classify-existing-trees-from-lidar
MARPA-176,Feature: Local model registry — track all local LLM/GenAI/GeoAI models in Pixeltable,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-176/feature-local-model-registry-track-all-local-llmgenaigeoai-models-in
MARPA-175,ifc_elements WKT geometry,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-175/ifc-elements-wkt-geometry
MARPA-174,ifc_elements BIS columns,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-174/ifc-elements-bis-columns
MARPA-173,ifc_elements DDC admin columns,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-173/ifc-elements-ddc-admin-columns
MARPA-172,PostGIS spatial extension at the PG layer,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-172/postgis-spatial-extension-at-the-pg-layer
MARPA-171,WKT-to-PostGIS computed columns,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-171/wkt-to-postgis-computed-columns
MARPA-170,Spatial join computed column,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-170/spatial-join-computed-column
MARPA-169,marpa_projects seed script,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-169/marpa-projects-seed-script
MARPA-168,site_zones authoring UI,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-168/site-zones-authoring-ui
MARPA-167,reference_images embedding,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-167/reference-images-embedding
MARPA-166,Reference image collection UI,Backlog,"agent-ready, plant-geometry",plant-geometry,claude-code,label,matched area labels: plant-geometry,dry-run,,https://linear.app/00-command-center/issue/MARPA-166/reference-image-collection-ui
MARPA-165,Species matching via spatial proximity,Backlog,"agent-ready, plant-geometry",plant-geometry,claude-code,label,matched area labels: plant-geometry,dry-run,,https://linear.app/00-command-center/issue/MARPA-165/species-matching-via-spatial-proximity
MARPA-164,ComfyUI job dispatch,Backlog,"agent-ready, plant-geometry",plant-geometry,claude-code,label,matched area labels: plant-geometry,dry-run,,https://linear.app/00-command-center/issue/MARPA-164/comfyui-job-dispatch
MARPA-163,ComfyUI dispatcher process,Backlog,"agent-ready, plant-geometry",plant-geometry,claude-code,label,matched area labels: plant-geometry,dry-run,,https://linear.app/00-command-center/issue/MARPA-163/comfyui-dispatcher-process
MARPA-162,GLB conversion,Backlog,"agent-ready, plant-geometry",plant-geometry,claude-code,label,matched area labels: plant-geometry,dry-run,,https://linear.app/00-command-center/issue/MARPA-162/glb-conversion
MARPA-161,Cinema 4D project skeleton,Backlog,"agent-ready, plant-geometry",plant-geometry,claude-code,label,matched area labels: plant-geometry,dry-run,,https://linear.app/00-command-center/issue/MARPA-161/cinema-4d-project-skeleton
MARPA-160,VW Plant Style assignment,Backlog,"agent-ready, plant-geometry",plant-geometry,claude-code,label,matched area labels: plant-geometry,dry-run,,https://linear.app/00-command-center/issue/MARPA-160/vw-plant-style-assignment
MARPA-159,Pixeltable cascade trigger,Backlog,"agent-ready, plant-geometry",plant-geometry,claude-code,label,matched area labels: plant-geometry,dry-run,,https://linear.app/00-command-center/issue/MARPA-159/pixeltable-cascade-trigger
MARPA-158,ThatOpen LOD swap,Backlog,"agent-ready, plant-geometry",plant-geometry,claude-code,label,matched area labels: plant-geometry,dry-run,,https://linear.app/00-command-center/issue/MARPA-158/thatopen-lod-swap
MARPA-157,Cesium pin thumbnail,Backlog,"agent-ready, plant-geometry",plant-geometry,claude-code,label,matched area labels: plant-geometry,dry-run,,https://linear.app/00-command-center/issue/MARPA-157/cesium-pin-thumbnail
MARPA-156,Quality review gate,Backlog,"agent-ready, plant-geometry",plant-geometry,claude-code,label,matched area labels: plant-geometry,dry-run,,https://linear.app/00-command-center/issue/MARPA-156/quality-review-gate
MARPA-155,Ollama install + 4 models,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-155/ollama-install-4-models
MARPA-154,Model registry sync,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-154/model-registry-sync
MARPA-153,Model router runtime,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-153/model-router-runtime
MARPA-152,ComfyUI install on Apple Silicon,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-152/comfyui-install-on-apple-silicon
MARPA-151,ComfyUI plant-2d-to-3d workflow,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-151/comfyui-plant-2d-to-3d-workflow
MARPA-150,ComfyUI tree-crown-gen workflow,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-150/comfyui-tree-crown-gen-workflow
MARPA-149,ComfyUI texture-from-photo workflow,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-149/comfyui-texture-from-photo-workflow
MARPA-148,ComfyUI Python client,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-148/comfyui-python-client
MARPA-147,GeoAI tree detection,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-147/geoai-tree-detection
MARPA-146,GeoAI species classifier,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-146/geoai-species-classifier
MARPA-145,GeoAI shadow segmentation,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-145/geoai-shadow-segmentation
MARPA-144,ML training pipeline,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-144/ml-training-pipeline
MARPA-143,Pixeltable text embedding column,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-143/pixeltable-text-embedding-column
MARPA-142,Pixeltable image embedding column,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-142/pixeltable-image-embedding-column
MARPA-141,Local inference endpoint,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-141/local-inference-endpoint
MARPA-140,Browser agent in Marimo,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-140/browser-agent-in-marimo
MARPA-139,Schema: Migration 0013 — georef + reality + mirror tables,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-139/schema-migration-0013-georef-reality-mirror-tables
MARPA-138,Feature: georef.config.json — per-project coordinate authority system,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-138/feature-georefconfigjson-per-project-coordinate-authority-system
MARPA-137,"Feature: Universal georef ingest — KML, Shapefile, GeoTIFF, Survey CSV, IFC, OSM, DXF",Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-137/feature-universal-georef-ingest-kml-shapefile-geotiff-survey-csv-ifc
MARPA-136,Feature: Drone video streaming ingest → Pixeltable Image columns with GPS georef,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-136/feature-drone-video-streaming-ingest-pixeltable-image-columns-with-gps
MARPA-135,Feature: Live GID streaming — drone GPS/IMU during flight → real-time Pixeltable inserts,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-135/feature-live-gid-streaming-drone-gpsimu-during-flight-real-time
MARPA-134,Feature: Gaussian splat ingest + georef alignment + 3DGS browser viewer,Backlog,"3d-viewer, agent-ready",3d-viewer,claude-code,label,matched area labels: 3d-viewer,dry-run,,https://linear.app/00-command-center/issue/MARPA-134/feature-gaussian-splat-ingest-georef-alignment-3dgs-browser-viewer
MARPA-133,Feature: Digital twin mirror_state — all 7 platform layers synced after every event,Backlog,"3d-viewer, agent-ready, cesium",3d-viewer,claude-code,label,matched area labels: 3d-viewer,dry-run,,https://linear.app/00-command-center/issue/MARPA-133/feature-digital-twin-mirror-state-all-7-platform-layers-synced-after
MARPA-132,Feature: Design vs reality C2C divergence — flagged across all platforms,Backlog,"agent-ready, analytics-layer, point-cloud","analytics-layer, point-cloud",claude-code,label,"matched area labels: analytics-layer, point-cloud",dry-run,,https://linear.app/00-command-center/issue/MARPA-132/feature-design-vs-reality-c2c-divergence-flagged-across-all-platforms
MARPA-131,Feature: Existing trees from LiDAR → VW Plant Style Manager + ifc_elements + Cesium + deck.gl,Backlog,"agent-ready, plant-geometry, vw-bridge","plant-geometry, vw-bridge",claude-code,label,"matched area labels: plant-geometry, vw-bridge",dry-run,,https://linear.app/00-command-center/issue/MARPA-131/feature-existing-trees-from-lidar-vw-plant-style-manager-ifc-elements
MARPA-130,Register self-hosted Mac runner for test-pxt CI,Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-130/register-self-hosted-mac-runner-for-test-pxt-ci
MARPA-129,"Implement georef converter stubs → real parsers (KML, Shapefile, OSM, DXF, GeoTIFF, Survey CSV, IFC)",Backlog,agent-ready,,claude-code,label,no mapped area label; defaulted to claude-code,dry-run,,https://linear.app/00-command-center/issue/MARPA-129/implement-georef-converter-stubs-real-parsers-kml-shapefile-osm-dxf
